sample1	sample2	baf_correlation	mean_segment_concordance	overall_concordance	concordance_quality	sampleID
17M1	17X1	0.999992347610781	0.976273471996753	0.988132909803767	Excellent	17
17M2	17X2	0.999995401212372	0.975182702991453	0.987589052101913	Excellent	17
17M1	17X2	0.999993875714304	0.975923076171514	0.987958475942909	Excellent	17
17M2	17X1	0.999990805777426	0.976487111921643	0.988238958849534	Excellent	17
18M1	18X1	0.999995325634237	0.971743363095238	0.985869344364738	Excellent	18
18M2	18X2	0.999993766517045	0.966247143157768	0.983120454837407	Excellent	18
18M2	18X1	0.999992198192085	0.968544467667749	0.984268332929917	Excellent	18
18M1	18X2	0.999995332128858	0.977074458498677	0.988534895313768	Excellent	18
20M2	20X1	0.999980027146981	0.971607030224337	0.985793528685659	Excellent	20
20M4	20X2	0.999990810302491	0.963638372162288	0.981814591232389	Excellent	20
20M4	20X1	0.999976936122405	0.974370779633969	0.987173857878187	Excellent	20
20M2	20X2	0.999987754350091	0.95681538501021	0.978401569680151	Excellent	20
23M5	23X1	0.999986228790211	0.971689888392857	0.985838058591534	Excellent	23
23M6	23X2	0.999975397215354	0.95479177252282	0.977383584869087	Excellent	23
23M6	23X1	0.999983181483422	0.97514953125	0.987566356366711	Excellent	23
23M5	23X2	0.999969245207835	0.952402573054839	0.976185909131337	Excellent	23
24M3	24X1	1	0.965168187593656	0.982584093796828	Excellent	24
24M1	24X1	0.999998480282184	0.969772500376641	0.984885490329413	Excellent	24
24M1	24X2	0.999995443914995	0.981076703699011	0.990536073807003	Excellent	24
24M3	24X2	0.999992407832607	0.987147129849317	0.993569768840962	Excellent	24
25M6	25X1	0.999985382362309	0.968579308607889	0.984282345485099	Excellent	25
25M3	25X1	0.999993498495604	0.972380067300789	0.986186782898197	Excellent	25
25M6	25X2	0.999991875489367	0.972685984073797	0.986338929781582	Excellent	25
25M3	25X2	0.999996748159399	0.97556090481124	0.98777882648532	Excellent	25
26M2	26X2	0.999982636851154	0.971843448218795	0.985913042534975	Excellent	26
26M1	26X2	0.999982639725108	0.961482483471575	0.980732561598342	Excellent	26
26M1	26X1	0.999993803809133	0.974234853798745	0.987114328803939	Excellent	26
26M2	26X1	0.999989154669083	0.982904718784584	0.991446936726833	Excellent	26
27M2	27X1	0.999984824758333	0.983885566062693	0.991935195410513	Excellent	27
27M1	27X2	0.999989262927849	0.976269174423804	0.988129218675827	Excellent	27
27M1	27X1	0.999989262237496	0.98021543404237	0.990102348139933	Excellent	27
27M2	27X2	0.99999089863575	0.980638360847905	0.990314629741827	Excellent	27
28M1	28X2	0.999960736131091	0.960024560604334	0.979992648367713	Excellent	28
28M1	28X1	0.99998439014156	0.966592418917888	0.983288404529724	Excellent	28
28M4	28X2	0.999970171544821	0.961095164283776	0.980532667914298	Excellent	28
28M4	28X1	0.999984395164229	0.969386044141044	0.984685219652637	Excellent	28
29M4	29X1	0.999992331736371	0.973411503324426	0.986701917530398	Excellent	29
29M4	29X2	0.999993844442326	0.971024985207171	0.985509414824749	Excellent	29
29M2	29X1	0.999993868396082	0.979798485922268	0.989896177159175	Excellent	29
29M2	29X2	0.999995385050417	0.977323052163489	0.988659218606953	Excellent	29
30M15	30X1	0.999993898230812	0.982466416407666	0.991230157319239	Excellent	30
30M15	30X2	0.999993896052801	0.975263193091631	0.987628544572216	Excellent	30
30M8	30X1	0.999986269273988	0.978704628380878	0.989345448827433	Excellent	30
30M8	30X2	0.999992368619837	0.979113962426462	0.98955316552315	Excellent	30
34M1	34X2	0.999992411003597	0.981025367039019	0.990508889021308	Excellent	34
34M2	34X1	0.994508539724478	0.950010527572577	0.972259533648527	Excellent	34
34M1	34X1	0.999987858890468	0.977211055150012	0.98859945702024	Excellent	34
34M2	34X2	0.994524440182307	0.954521822848395	0.974523131515351	Excellent	34
35M8	35X5	0.999984798080693	0.964029175454175	0.982006986767434	Excellent	35
35M8	35X1	0.999995421538973	0.97090969298063	0.985452557259802	Excellent	35
